age,job,marital,education,balance,housing,loan
30,unemployed,married,primary,1787,no,no
33,services,married,secondary,4789,yes,yes
35,management,single,tertiary,1350,yes,no
30,management,married,tertiary,,yes,yes
59,blue-collar,married,secondary,0,yes,no
35,,single,tertiary,747,no,no
36,self-employed,married,tertiary,307,yes,no
39,technician,married,secondary,147,yes,no
41,entrepreneur,,tertiary,221,yes,no
43,services,married,primary,-88,yes,yes
39,services,married,secondary,9374,yes,no
43,admin.,,secondary,264,yes,no
36,technician,married,tertiary,1109,no,no
20,student,single,secondary,502,no,no
31,,married,secondary,360,,yes
40,management,married,tertiary,194,no,yes
56,technician,married,secondary,4073,no,no
37,admin.,single,tertiary,2317,yes,no
25,blue-collar,single,primary,-221,yes,no
31,services,married,secondary,132,no,no
